Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
3, 5, distance/distance_to_5, static_var/Acc15, 837845.412680486, 0.271580482290071, 0.553873883913031, 3.71392433801048, 0.129988254539503, 
3, 5, distance/distance_to_5, static_var/BD000, 349286.775496799, 0.17535077052978, 0.394655435993701, 3.44321429992146, 0.057403499888072, 
3, 5, distance/distance_to_5, static_var/Bio01, 1336498.75552215, 0.48508280958275, 0.64327650697722, 2.45838053695066, 0.275947858876491, 
3, 5, distance/distance_to_5, static_var/Bio02, 1166669.0601943, 0.320472263244207, 0.617470948278481, 3.17728920872124, 0.180583150858874, 
3, 5, distance/distance_to_5, static_var/Bio03, 556227.79633743, 0.221280401701417, 0.476526069819898, 3.30959553329122, 0.0870135161992841, 
3, 5, distance/distance_to_5, static_var/Bio04, 1442722.39379506, 0.356375626339892, 0.657624545092591, 4.05203714429301, 0.179803928175449, 
3, 5, distance/distance_to_5, static_var/Bio05, 474127.665291611, 0.204298066145322, 0.447518350885328, 3.35134953162265, 0.076191640015504, 
3, 5, distance/distance_to_5, static_var/Bio06, 1388959.69183132, 0.349672459618989, 0.650518236890961, 2.96246498582829, 0.246581912457194, 
3, 5, distance/distance_to_5, static_var/Bio07, 1130606.18766156, 0.315480329774083, 0.61146660460398, 3.13838705818972, 0.18102547781, 
3, 5, distance/distance_to_5, static_var/Bio08, 988609.909474273, 0.417199793365865, 0.585697756444481, 2.45023920215289, 0.218903872814575, 
3, 5, distance/distance_to_5, static_var/Bio09, 1125836.66117949, 0.38556706542937, 0.610657267643812, 2.64192975954191, 0.222787895871036, 
3, 5, distance/distance_to_5, static_var/Bio10, 1334619.5068729, 0.484741652554686, 0.6430111881427, 2.58235257164349, 0.263950726516076, 
3, 5, distance/distance_to_5, static_var/Bio11, 1498439.74387147, 0.444817513848815, 0.664675192372844, 2.77649811837698, 0.280736242979017, 
3, 5, distance/distance_to_5, static_var/Bio12, 210212.761275348, 0.136033585663223, 0.31612490939796, 4.04609110720992, 0.027494082518816, 
3, 5, distance/distance_to_5, static_var/Bio13, 168082.256194236, 0.121640316551081, 0.285550850873834, 3.58702578662011, 0.0272480155227301, 
3, 5, distance/distance_to_5, static_var/Bio14, 260945.738240395, 0.151562482913789, 0.348040029309259, 3.54417350061913, 0.0398488348174654, 
3, 5, distance/distance_to_5, static_var/Bio15, 312952.470785545, 0.165980014995731, 0.376628569737842, 3.88829174084838, 0.0477435367207043, 
3, 5, distance/distance_to_5, static_var/Bio16, 207096.994876008, 0.135021679464887, 0.314006011063739, 3.50092167658848, 0.0353444668837947, 
3, 5, distance/distance_to_5, static_var/Bio17, 319796.47423284, 0.167785119980402, 0.380135413581053, 4.24051282326887, 0.0404959462336205, 
3, 5, distance/distance_to_5, static_var/Bio18, 130814.50127917, 0.107311076625066, 0.254221472871306, 3.79543920087416, 0.0195260068460447, 
3, 5, distance/distance_to_5, static_var/Bio19, 287545.09547975, 0.159099783754752, 0.363113391181967, 4.05474627400096, 0.0368380805301315, 
3, 5, distance/distance_to_5, static_var/Cy000, 191428.437356274, 0.129813492471542, 0.30302625080759, 3.7220014309813, 0.0272198009934552, 
3, 5, distance/distance_to_5, static_var/D_Mill, 441356.870395018, 0.197111313899172, 0.434795456031935, 5.01862774806162, 0.0444446183529159, 
3, 5, distance/distance_to_5, static_var/D_Opm2007, 9257380.47856838, 0.902735796320505, 0.911158020029826, 1.99374707067782, 0.857882102759361, 
3, 5, distance/distance_to_5, static_var/D_River, 196345.415610566, 0.131470098986095, 0.306532022085648, 3.5694692623679, 0.0306267741982047, 
3, 5, distance/distance_to_5, static_var/D_Road, 367987.65336678, 0.179983722952728, 0.4034041396359, 3.55614530420586, 0.051699551919227, 
3, 5, distance/distance_to_5, static_var/D_Town, 537104.637225627, 0.217443313858657, 0.470101543692354, 3.40567711616307, 0.0779981248012019, 
3, 5, distance/distance_to_5, static_var/D_Vill, 753278.293089718, 0.257510139133454, 0.533502855313777, 4.10926805636026, 0.0950375231188502, 
3, 5, distance/distance_to_5, static_var/Elev, 1476436.61498014, 0.360515557375042, 0.661927646537438, 2.82718919984512, 0.271792795125986, 
3, 5, distance/distance_to_5, static_var/OC000, 195026.57867727, 0.131027817811877, 0.305597263349271, 3.20802543901378, 0.0350399890418864, 
